MYOR,MIKA,UNTR
0.075262528,0.013303973,0.006622508
-0.020202692,-0.111744042,0.054588178
0.044895286,-0.087459289,0.080282905
0,-0.013532014,-0.025670185
-0.014742333,-0.013717644,0.055166498
0.103378343,0.051155126,0.094282307
0.073150886,0.125626225,-0.08864868
0.202178555,-0.032944175,-0.106609643
0,-0.08223802,0.06356167
0.013468206,-0.069920983,0.0438616
-0.006711429,0.046266714,-0.103618557
0.048328606,0.061875502,0.109308454
-0.070380799,-0.091567241,-0.024409091
-0.057158363,-0.044825385,-0.041548862
-0.064538533,-0.199080222,0.015037792
0,0.106059634,-0.185860416
0.027080958,-0.009478749,-0.005469505
-0.015385002,-0.042145562,-0.061253278
0.022989641,0.250578239,0.029681481
-0.026873114,-0.005167973,0.018692066
0.011605656,0.112588223,0.006460642
-0.015504269,-0.160342615,-0.039059543
-0.03174867,0.029453283,0.106543242
0.004024122,0.068816929,-0.123450651
0.011762476,0.237476754,-0.174926709
-0.110281174,0.060855329,-0.016867803
-0.041195665,-0.041437238,0.052082686
-0.038099912,0.026567016,-0.015012158
-0.004866145,0,0.028270443
-0.065514635,-0.026567016,-0.114304782
-0.064538534,-0.047252879,-0.145507593
0.030098062,-0.142790669,0.017910933
0.147583076,-0.100205914,-0.036148526
0.022989594,0.197628028,-0.037504409
0.02690743,-0.043110134,0.052725387
0.039050535,0.055688837,0.300812254
0.013422985,-0.003716077,0.074442433
0.01268516,0.033198069,-0.008733611
-0.016949558,0.070895822,-0.076303352
0.016949558,0.026267927,0.092623697
0.129848147,0.011049836,0.145417058
0.029092961,0.060409128,-0.151960097
-0.029092961,0.023851216,-0.013216108
-0.033774317,-0.121578107,-0.019026807
-0.063012968,-0.003809528,-0.043886983
0.032002731,-0.015384919,0.084450345
0.007843177,-0.05579136,0.035932009
